#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_54347_cov_50.490989	1	54347	42625	54037	99.4296	113.526	30	58.7
NODE_2_length_46383_cov_73.316086	1	46383	53333	45995	99.1635	164.581	30	56.5
NODE_3_length_43514_cov_273.213911	1	43514	171718	43370	99.6691	581.164	30	59.2
NODE_4_length_43294_cov_94.519251	1	43294	70793	42986	99.2886	236.375	30	58.4
NODE_5_length_41637_cov_2596.310748	1	41637	1515286	41606	99.9255	4208.12	30	59.4
NODE_6_length_41134_cov_31.510717	1	41134	21675	39918	97.0438	74.866	30	57.3
NODE_7_length_39930_cov_63.251023	1	39930	37264	39482	98.878	136.227	30	58.7
NODE_8_length_39317_cov_20.818425	1	39317	12631	38484	97.8813	46.5895	30	58.8
NODE_9_length_37899_cov_58.858325	1	37899	32340	37511	98.9762	124.686	30	58
NODE_10_length_36298_cov_99.214816	1	36298	53513	35596	98.066	212.579	30	56.9
NODE_11_length_35354_cov_94.822065	1	35354	50343	35183	99.5163	208.324	30	59.1
NODE_12_length_33997_cov_21.725476	1	33997	11897	32731	96.2761	50.0825	30	58.4
NODE_13_length_32810_cov_53.368619	1	32810	27528	32457	98.9241	121.252	30	58.8
NODE_14_length_31541_cov_375.694295	1	31541	183921	31471	99.7781	822.628	30	56.3
NODE_15_length_30846_cov_38.941343	1	30846	18726	30544	99.0209	88.0091	30	58.7
NODE_16_length_30369_cov_70.362076	1	30369	34041	30265	99.6575	161.16	30	58.6
NODE_17_length_29919_cov_62.378259	1	29919	28209	29574	98.8469	138.204	30	58.6
NODE_18_length_29576_cov_101.373402	1	29576	44146	29363	99.2798	217.318	30	58
NODE_19_length_28361_cov_51.378801	1	28361	22013	28232	99.5452	111.819	30	57.2
NODE_20_length_27130_cov_69.957842	1	27130	29656	25838	95.2377	157.46	30	58.7
NODE_21_length_25110_cov_263.361363	1	25110	120816	24931	99.2871	597.409	30	52.4
NODE_22_length_24393_cov_35.651010	1	24393	14147	24068	98.6677	84.7189	30	59
NODE_23_length_23048_cov_145.276547	1	23048	49298	22943	99.5444	315.389	30	59.2
NODE_24_length_22434_cov_51.641857	1	22434	17127	22434	100	110.474	30	58.8
NODE_25_length_20553_cov_135.652569	1	20553	40477	20429	99.3967	290.075	30	59.3
NODE_26_length_20408_cov_121.910531	1	20408	37553	20331	99.6227	267.217	30	58.3
NODE_27_length_20256_cov_330.176232	1	20256	99943	20170	99.5754	721.584	30	59
NODE_28_length_20026_cov_75.219610	1	20026	22445	19762	98.6817	163.726	30	58.9
NODE_29_length_19066_cov_93.914534	1	19066	27363	18847	98.8514	207.301	30	58.7
